name,institution,course_url,course_id,reviewers,rating
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,12677,4.739922694643843
Indigenous Canada,University of Alberta,https://www.coursera.org/learn/indigenous-canada,indigenous-canada,1460,4.816438356164384
The Science of Well-Being,Yale University,https://www.coursera.org/learn/the-science-of-well-being,the-science-of-well-being,8199,4.929503597999756
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,12055,4.76748237245956
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,https://www.coursera.org/learn/google-cbrs-cpi-training,google-cbrs-cpi-training,33,4.818181818181818
Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,financial-markets-global,3108,4.811454311454312
Introduction to Psychology,Yale University,https://www.coursera.org/learn/introduction-psychology,introduction-psychology,3015,4.852736318407961
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,15226,4.583672665177985
The Bits and Bytes of Computer Networking,Google,https://www.coursera.org/learn/computer-networking,computer-networking,4813,4.628921670475795
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,ai-for-everyone,7386,4.845112374763065
Crash Course on Python,Google,https://www.coursera.org/learn/python-crash-course,python-crash-course,3231,4.7251624883936865
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,2926,4.841421736158578
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,12292,4.77123332248617
What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,7397,4.622820062187373
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,2869,4.805507145346811
Fundamentals of Project Planning and Management,University of Virginia,https://www.coursera.org/learn/uva-darden-project-management,uva-darden-project-management,1132,4.764134275618375
Project Launch,"University of California, Irvine",https://www.coursera.org/learn/project-management,project-management,36,4.361111111111111
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,https://www.coursera.org/learn/brand,brand,1091,4.8964252978918426
Writing in the Sciences,Stanford University,https://www.coursera.org/learn/sciwrite,sciwrite,1286,4.919129082426127
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,4965,4.693655589123867
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,https://www.coursera.org/learn/html-css-javascript-for-web-developers,html-css-javascript-for-web-developers,3186,4.758631512868801
Excel Skills for Business: Essentials,Macquarie University,https://www.coursera.org/learn/excel-essentials,excel-essentials,7377,4.888301477565406
